"issue.name","issue.number","issue.state","issue.closed_at"
"As a developer, I need to Setup CI/CD ","48","closed","2020-09-26 18:38:56"
"Forums","47","open",""
"Account Badges","46","open",""
"Leaderboards","45","open",""
"As a developer, we need to setup docker","44","closed","2020-09-22 16:23:01"
"As a developer, we need to deploy this app","43","open",""
"As a developer, I need to set up a react/django template as a starting point","42","closed","2020-09-15 22:40:52"
"As a user, I want be able to navigate to each section of the site easily with a Navbar","41","closed","2020-10-21 17:59:15"
"General","40","open",""
"As a user, I want to see links to helpful resources","39","open",""
"As a user, I want to be able to search for the word I’m looking for in the ASL dictionary","38","closed","2020-09-05 19:29:46"
"As a user, I want to have access to an ASL dictionary","37","open",""
"Resources","36","open",""
"As a user, I want to see recent activity on my dashboard","35","open",""
"As a user, I want a way to navigate to the right page on the dashboard","34","closed","2020-09-05 19:23:00"
"As a user, I want a quick way on the dashboard to pick up where I left off on the","33","open",""
" As a user, I want to to see my progress on the different modules on the dashboard","32","open",""
"Dashboard","31","open",""
"As a user, I want instant feedback in the games","30","closed","2020-09-05 19:17:37"
"As a user, I want to see my score at the end of the game","29","closed","2020-09-05 19:16:42"
"As a user, I want to fill in a bingo card with my sign language knowledge","28","open",""
"As a user, I want to play flash card speed matching game","27","open",""
"Games","26","open",""
"As a user, if I don’t have a webcam, I will be sent to alternative quizzes that don’t need a webcam","25","open",""
"As a user, I want to see a playback of my hand signal","24","open",""
"As a user, I know when I am giving input","23","open",""
"As a user, I am able to re record my hand signals","22","closed","2020-09-05 19:04:57"
"As a user, I am able to get feedback for my video input","21","open",""
"As a user, I am able to record sign language on the website","20","open",""
"Video Processing","19","open",""
"As a user, I want my progress in a lesson to be saved","18","open",""
"As a user, I want to receive feedback from my quizzes.","17","open",""
"As a user, I want to be quizzed at the end of every lessons","16","open",""
"As a user, I want to see difficulty levels","15","open",""
"Lessons","14","open",""
"As a developer, I need to make templates for individual lessons","13","open",""
"As a user, I want to be able to access all available lessons","12","open",""
"As a user, I want to see available lessons in modules","11","open",""
"As a user, I want to be able to see the progress of my modules","10","open",""
"As a user, I can login as a guest","9","closed","2020-10-19 02:53:29"
"As a user, I want to be able to see all available modules","8","open",""
"Interactive Sign language Lessons","7","open",""
"As a user, I Want to be able to login with my Google account","6","open",""
"As a user, I want to able to change and store preferences ","5","open",""
"As a user, I want to have friends","4","open",""
"As a user I can login with my account","3","closed","2020-10-19 02:53:25"
"As a user I can register for an account","2","closed","2020-11-04 00:34:38"
"User Accounts","1","open",""
